각인1,각인2,감소,합,유효,,,합,개수,비율
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,3,15,SAFE,,,,,
9,6,4,15,SAFE,,,,,
9,6,4,15,SAFE,,,,,
8,7,0,15,SAFE,,,,,
8,7,0,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,1,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,2,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,3,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
8,7,4,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,1,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,2,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,3,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
7,8,4,15,SAFE,,,,,
6,9,1,15,SAFE,,,,,
6,9,1,15,SAFE,,,,,
6,9,1,15,SAFE,,,,,
6,9,1,15,SAFE,,,,,
6,9,1,15,SAFE,,,,,
6,9,1,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,2,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,3,15,SAFE,,,,,
6,9,4,15,SAFE,,,,,
6,9,4,15,SAFE,,,,,
6,9,4,15,SAFE,,,,,
6,9,4,15,SAFE,,,,,
5,10,1,15,SAFE,,,,,
5,10,2,15,SAFE,,,,,
5,10,2,15,SAFE,,,,,
5,10,3,15,SAFE,,,,,
5,10,3,15,SAFE,,,,,
5,10,3,15,SAFE,,,,,
10,4,1,14,SAFE,,,,,
10,4,2,14,SAFE,,,,,
10,4,3,14,SAFE,,,,,
10,4,3,14,SAFE,,,,,
10,4,3,14,SAFE,,,,,
10,4,3,14,SAFE,,,,,
10,4,3,14,SAFE,,,,,
9,5,1,14,SAFE,,,,,
9,5,1,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,2,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,3,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
9,5,4,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,1,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,2,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,3,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
8,6,4,14,SAFE,,,,,
